,Unnamed: 0,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
14,14,URN:CornellLabOfOrnithology:EBIRD:OBS702870234,2024-11-21 17:12:59.876838,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-27,,obsr440131,S52046876,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
15,15,URN:CornellLabOfOrnithology:EBIRD:OBS702855248,2024-11-21 17:12:59.876838,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-26,06:40:00,obsr440131,S52045853,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa,,
16,16,URN:CornellLabOfOrnithology:EBIRD:OBS702869887,2024-11-21 17:12:59.876838,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,4,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-24,06:30:00,obsr440131,S52046854,Historical,P62,EBIRD,,,,,1,,0,1,0,,Horário aproximado,4 ou 5,
17,17,URN:CornellLabOfOrnithology:EBIRD:OBS702871496,2024-11-21 17:12:59.876838,31261,species,avibase-240E3390,House Sparrow,Passer domesticus,,,N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-16,,obsr440131,S52046983,Historical,P62,EBIRD,,,,,1,,0,1,0,,"Foi neste dia que comecei a fazer a lista para minha casa--1) Todo cinza, azul reflexo, bico preto, *cere* branco, olho e pés pretos (sanhaço?) [sanhaço-cinza]--2) tipo coleirinha, dorso escuro, mancha branca no olho, no alto da cabeça, ventre claro [cambacica]--3) Pardais--4) pássaro-preto (Nego) [Nego era pássaro-preto, mas suponho que seria chupim]--5) andorinha [andorinha-pequena]--6) bentevi--7) visto um sabiá Turdus rufiventris. Fugido?--8) cinza em cima, amarelo embaixo, tipo sanhaço cantor [cambacica]",,
19,19,URN:CornellLabOfOrnithology:EBIRD:OBS702869885,2024-11-21 17:12:59.876838,31261,species,avibase-240E3390,House Sparrow,Passer domesticus,,,N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-24,06:30:00,obsr440131,S52046854,Historical,P62,EBIRD,,,,,1,,0,1,0,,Horário aproximado,,
20,20,URN:CornellLabOfOrnithology:EBIRD:OBS702855249,2024-11-21 17:12:59.876838,31261,species,avibase-240E3390,House Sparrow,Passer domesticus,,,N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-26,06:40:00,obsr440131,S52045853,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa,,
21,21,URN:CornellLabOfOrnithology:EBIRD:OBS702870521,2024-11-21 17:12:59.876838,31261,species,avibase-240E3390,House Sparrow,Passer domesticus,,,N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-23,,obsr440131,S52046905,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
23,23,URN:CornellLabOfOrnithology:EBIRD:OBS702870235,2024-11-21 17:12:59.876838,31261,species,avibase-240E3390,House Sparrow,Passer domesticus,,,N,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-05-27,,obsr440131,S52046876,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
24,24,URN:CornellLabOfOrnithology:EBIRD:OBS702861472,2024-11-21 17:13:00.264924,26960,species,avibase-A41F1360,Southern House Wren,Troglodytes musculus,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-25,07:10:00,obsr440131,S52046317,Historical,P62,EBIRD,,,,,0,,0,1,0,,,As mesmas de ontem?,
25,25,URN:CornellLabOfOrnithology:EBIRD:OBS702870432,2024-11-21 17:13:00.264924,26960,species,avibase-A41F1360,Southern House Wren,Troglodytes musculus,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Escola Estadual Rui Bloem,L8206672,H,-23.6108026,-46.6445339,1977-05-24,07:00:00,obsr440131,S52046892,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Horário aproximado,,
