,Unnamed: 0,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
52,52,URN:CornellLabOfOrnithology:EBIRD:OBS863405342,2024-11-20 04:08:48.439111,11639,species,avibase-3CD8FECC,Lineated Woodpecker,Dryocopus lineatus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
54,54,URN:CornellLabOfOrnithology:EBIRD:OBS863405350,2024-11-20 04:08:48.439111,15348,species,avibase-26B605AB,Pallid Spinetail,Cranioleuca pallida,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
55,55,URN:CornellLabOfOrnithology:EBIRD:OBS863405334,2024-11-20 04:08:48.439111,34668,species,avibase-5EADEFF0,Palm Tanager,Thraupis palmarum,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
56,56,URN:CornellLabOfOrnithology:EBIRD:OBS863558118,2024-11-19 07:45:13.09732,18853,species,avibase-8776BD04,Rufous-browed Peppershrike,Cyclarhis gujanensis,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
57,57,URN:CornellLabOfOrnithology:EBIRD:OBS863201099,2024-11-20 05:11:10.388081,28285,species,avibase-849B6005,Rufous-bellied Thrush,Turdus rufiventris,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Avenida Paulista,L3228751,H,-23.5635905,-46.6542456,1977-07-14,,obsr17244,S64383361,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,,,
58,58,URN:CornellLabOfOrnithology:EBIRD:OBS863558116,2024-11-19 07:45:13.09732,28285,species,avibase-849B6005,Rufous-bellied Thrush,Turdus rufiventris,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
59,59,URN:CornellLabOfOrnithology:EBIRD:OBS863201098,2024-11-20 05:11:10.388081,32876,species,avibase-A7280FF0,Rufous-collared Sparrow,Zonotrichia capensis,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Avenida Paulista,L3228751,H,-23.5635905,-46.6542456,1977-07-14,,obsr17244,S64383361,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,,abundant,
60,60,URN:CornellLabOfOrnithology:EBIRD:OBS863558121,2024-11-19 07:45:13.09732,15434,species,avibase-9D69DD94,Rufous-capped Spinetail,Synallaxis ruficapilla,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
61,61,URN:CornellLabOfOrnithology:EBIRD:OBS863558114,2024-11-19 07:45:13.09732,14893,species,avibase-833CB552,Rufous Hornero,Furnarius rufus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
62,62,URN:CornellLabOfOrnithology:EBIRD:OBS863558112,2024-11-19 07:45:13.09732,13683,species,avibase-94479EAE,Rufous-margined Antwren,Herpsilochmus rufimarginatus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
63,63,URN:CornellLabOfOrnithology:EBIRD:OBS863405348,2024-11-20 04:08:48.439111,13683,species,avibase-94479EAE,Rufous-margined Antwren,Herpsilochmus rufimarginatus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
64,64,URN:CornellLabOfOrnithology:EBIRD:OBS863558117,2024-11-19 07:45:13.09732,5119,species,avibase-6FD57E23,Sapphire-spangled Emerald,Chionomesa lactea,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
65,65,URN:CornellLabOfOrnithology:EBIRD:OBS863405346,2024-11-20 04:08:48.439111,34660,species,avibase-67E55116,Sayaca Tanager,Thraupis sayaca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
66,66,URN:CornellLabOfOrnithology:EBIRD:OBS863558120,2024-11-19 07:45:13.09732,34660,species,avibase-67E55116,Sayaca Tanager,Thraupis sayaca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,,
67,67,URN:CornellLabOfOrnithology:EBIRD:OBS863405340,2024-11-20 04:08:48.439111,17223,species,avibase-468B520C,Social Flycatcher,Myiozetetes similis,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
68,68,URN:CornellLabOfOrnithology:EBIRD:OBS863558119,2024-11-19 07:45:13.09732,13446,species,avibase-6153F5B7,Variable Antshrike,Thamnophilus caerulescens,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
69,69,URN:CornellLabOfOrnithology:EBIRD:OBS863405343,2024-11-20 04:08:48.439111,13446,species,avibase-6153F5B7,Variable Antshrike,Thamnophilus caerulescens,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,BIRDLIFE_20251,,,,Horto Florestal (PE Alberto Löfgren),L3099525,H,-23.4615929,-46.6377568,1977-07-15,11:00:00,obsr17244,S64400913,Traveling,P22,EBIRD,270.0,1.207,,2.0,1,,0,1,0,,,,
71,71,URN:CornellLabOfOrnithology:EBIRD:OBS863558113,2024-11-19 07:45:13.09732,10948,species,avibase-81D359BF,White-barred Piculet,Picumnus cirratus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,PEFI--Jardim Botânico de São Paulo,L2015671,H,-23.6387607,-46.623371,1977-07-17,11:00:00,obsr17244,S64414284,Historical,P62,EBIRD,240.0,,,2.0,0,,0,1,0,,,in forest flocks,
72,72,URN:CornellLabOfOrnithology:EBIRD:OBS1019492638,2024-11-20 05:11:10.388081,2249,spuh,avibase-4EC62C82,ground dove/Inca Dove,Columbina sp.,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Avenida Paulista,L3228751,H,-23.5635905,-46.6542456,1977-07-14,,obsr17244,S64383361,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,,,
74,74,URN:CornellLabOfOrnithology:EBIRD:OBS681946715,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-12-31,,obsr440131,S50359900,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa,,
75,75,URN:CornellLabOfOrnithology:EBIRD:OBS681946714,2024-11-21 17:12:59.876838,17199,species,avibase-9C883C7B,Great Kiskadee,Pitangus sulphuratus,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-12-31,,obsr440131,S50359900,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa,,
78,78,URN:CornellLabOfOrnithology:EBIRD:OBS681946716,2024-11-21 17:12:59.876838,3856,species,avibase-C2288064,Sick's Swift,Chaetura meridionalis,,,,3,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1977-12-31,,obsr440131,S50359900,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa,,
79,79,URN:CornellLabOfOrnithology:EBIRD:OBS681953868,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-17,,obsr440131,S50360386,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--Nublado,Nos hibiscos do vizinho,
81,81,URN:CornellLabOfOrnithology:EBIRD:OBS681955113,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-22,,obsr440131,S50360477,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa. Calor,,
82,82,URN:CornellLabOfOrnithology:EBIRD:OBS681955611,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-23,,obsr440131,S50360515,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa. Calor,,
84,84,URN:CornellLabOfOrnithology:EBIRD:OBS681947587,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-04,,obsr440131,S50359961,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Nublado, ca. 13°C, subindo do meio do dia (ca. 23°C)",,
85,85,URN:CornellLabOfOrnithology:EBIRD:OBS681949290,2024-11-21 17:12:59.876838,35357,species,avibase-B78F2D6F,Bananaquit,Coereba flaveola,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-09,,obsr440131,S50360097,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Sol, nublado à tarde, muito calor.",,
86,86,URN:CornellLabOfOrnithology:EBIRD:OBS681955613,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,2,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-23,,obsr440131,S50360515,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa. Calor,,
87,87,URN:CornellLabOfOrnithology:EBIRD:OBS681953866,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-17,,obsr440131,S50360386,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--Nublado,,
88,88,URN:CornellLabOfOrnithology:EBIRD:OBS681948458,2024-11-19 05:37:59.292535,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,Parque Ibirapuera,L1800556,H,-23.5861978,-46.6591035,1978-01-06,,obsr440131,S50360038,Historical,P62,EBIRD,,,,1.0,0,,0,1,0,,,,
89,89,URN:CornellLabOfOrnithology:EBIRD:OBS681954734,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-20,,obsr440131,S50360455,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--Temp. máxima 30°C,,
91,91,URN:CornellLabOfOrnithology:EBIRD:OBS681954384,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-18,,obsr440131,S50360421,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Sol, calor",,
92,92,URN:CornellLabOfOrnithology:EBIRD:OBS681955109,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-22,,obsr440131,S50360477,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa. Calor,,
93,93,URN:CornellLabOfOrnithology:EBIRD:OBS681949292,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-09,,obsr440131,S50360097,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Sol, nublado à tarde, muito calor.",,
94,94,URN:CornellLabOfOrnithology:EBIRD:OBS681954506,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-19,,obsr440131,S50360436,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--Faz calor.Os pássaros estão com muito calor,,
95,95,URN:CornellLabOfOrnithology:EBIRD:OBS681947813,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-05,,obsr440131,S50359980,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Nubladdo, 16-25°C. Sol ao meio dia.",,
96,96,URN:CornellLabOfOrnithology:EBIRD:OBS705270519,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,X,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-16,,obsr440131,S52258839,Incidental,P20,EBIRD,,,,,0,,0,1,0,,Em casa,,
97,97,URN:CornellLabOfOrnithology:EBIRD:OBS681952878,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-12,,obsr440131,S50360315,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--Ca.23°C,"Uma só, voando",
98,98,URN:CornellLabOfOrnithology:EBIRD:OBS681954925,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,4,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-21,,obsr440131,S50360463,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,Em casa.--30°C,,
99,99,URN:CornellLabOfOrnithology:EBIRD:OBS681947593,2024-11-21 17:12:59.876838,23898,species,avibase-DFFD116E,Blue-and-white Swallow,Pygochelidon cyanoleuca,,,,1,,,,,Brazil,BR,São Paulo,BR-SP,São Paulo,BR-SP-565,,,,,São Paulo--Alameda dos Guaicanãs,L8206548,H,-23.6152057,-46.6482683,1978-01-04,,obsr440131,S50359961,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,"Em casa.--Nublado, ca. 13°C, subindo do meio do dia (ca. 23°C)",,
